timebase,lv_dab.i_out,lv_dab.i_in,lv_dab.v_out,mv_dab.v_out,mv_dab.i_in
0.00672,0,27.7143,47.0962,253.737,116.597
0.00676,0,26.5662,46.192,254.115,116.007
0.0068,0,25.4166,45.2088,254.46,115.39
0.00684,0,24.265,44.326,254.774,114.751
0.00688,0,23.1221,43.5752,255.055,114.091
0.00692,0,22.0054,42.5753,255.303,113.414
0.00696,0,20.9057,41.6901,255.518,112.722
0.007,0,19.8173,40.843,255.7,112.018
0.00704,0,18.7446,39.8484,255.849,111.302
0.00708,0,17.6838,38.9777,255.966,110.58
0.00712,0,16.6416,37.974,256.05,109.853
0.00716,0,15.6177,36.9817,256.103,109.124
0.0072,0,14.6122,35.9801,256.125,108.395
0.00724,0,13.6266,35.0615,256.117,107.669
0.00728,0,12.6708,34.0876,256.08,106.948
0.00732,0,11.7461,33.3252,256.015,106.233
0.00736,0,10.8636,32.3627,255.921,105.528
0.0074,0,10.0147,31.3808,255.802,104.835
0.00744,0,9.18584,30.5443,255.656,104.155
0.00748,0,8.38334,29.6584,255.485,103.49
0.00752,0,7.61366,28.673,255.291,102.842
0.00756,0,6.87214,27.8873,255.076,102.212
0.0076,0,6.16823,26.7825,254.839,101.603
0.00764,0,5.48627,26.0411,254.583,101.014
0.00768,0,4.8398,25.0353,254.309,100.449
0.00772,0,4.22388,24.2016,254.019,99.9063
0.00776,0,3.64283,23.07,253.713,99.3888
0.0078,0,3.07804,22.2513,253.394,98.8969
0.00784,0,2.54183,21.5356,253.063,98.4311
0.00788,0,2.05809,20.5973,252.721,97.9918
0.00792,0,1.61625,19.7811,252.37,97.579
0.00796,0,1.20546,18.8924,252.011,97.1935
0.008,0,0.814703,18.2198,251.645,96.8355
0.00804,0,0.458691,17.3223,251.273,96.5048
0.00808,0,0.130772,16.6215,250.898,96.2032
0.00812,0,-0.163651,15.8231,250.521,95.9284
0.00816,0,-0.428819,15.2341,250.142,95.6811
0.0082,0,-0.653515,14.3643,249.764,95.4609
0.00824,0,-0.858566,13.6179,249.387,95.2673
0.00828,0,-1.05226,12.7954,249.012,95.0993
0.00832,0,-1.23826,12.1665,248.641,94.9576
0.00836,0,-1.39586,11.3233,248.275,94.841
0.0084,0,-1.53186,10.8038,247.916,94.7487
0.00844,0,-1.62848,10.1088,247.564,94.6803
0.00848,0,-1.69407,9.55123,247.221,94.6353
0.00852,0,-1.73287,8.93032,246.886,94.6115
0.00856,0,-1.75582,8.4987,246.561,94.6088
0.0086,0,-1.75105,7.96875,246.246,94.6264
0.00864,0,-1.72176,7.47888,245.942,94.6632
0.00868,0,-1.675,6.95091,245.65,94.7189
0.00872,0,-1.62181,6.47622,245.369,94.7923
0.00876,0,-1.56229,5.96231,245.101,94.8825
0.0088,0,-1.49776,5.50839,244.847,94.9878
0.00884,0,-1.42227,5.22321,244.606,95.1079
0.00888,0,-1.31338,4.89953,244.38,95.2423
0.00892,0,-1.16901,4.35022,244.169,95.3882
0.00896,0,-1.03354,3.9998,243.972,95.5464
0.009,0,-0.913812,3.70155,243.788,95.7147
0.00904,0,-0.788742,3.31769,243.62,95.8924
0.00908,0,-0.653702,2.82737,243.467,96.0789
0.00912,0,-0.530592,2.64921,243.329,96.2733
0.00916,0,-0.393383,2.65602,243.206,96.4749
0.0092,0,-0.19476,2.43535,243.098,96.6815
0.00924,0,0.0417207,2.18764,243.006,96.8923
0.00928,0,0.265791,2.05399,242.926,97.1067
0.00932,0,0.46546,2.01739,242.859,97.3243
0.00936,0,0.667302,2.08492,242.805,97.5441
0.0094,0,0.907347,2.10119,242.764,97.7659
0.00944,0,1.18374,2.01933,242.736,97.9884
0.00948,0,1.45585,1.88968,242.72,98.2108
0.00952,0,1.68637,1.92013,242.714,98.4318
0.00956,0,1.89375,2.05367,242.718,98.6519
0.0096,0,2.12457,2.27772,242.733,98.8701
0.00964,0,2.41254,2.36434,242.76,99.0851
0.00968,0,2.72714,2.53971,242.796,99.2973
0.00972,0,3.03816,2.72844,242.839,99.5053
0.00976,0,3.33399,2.85119,242.889,99.709
0.0098,0,3.60757,2.98121,242.946,99.9089
0.00984,0,3.8621,3.22873,243.01,100.104
0.00988,0,4.12436,3.56055,243.08,100.293
0.00992,0,4.42299,3.78663,243.157,100.477
0.00996,0,4.7407,4.12266,243.239,100.654
0.01,0,5.06479,4.25258,243.324,100.826
0.01004,0,5.35468,4.77468,243.413,100.991
0.01008,0,5.65493,5.16234,243.504,101.15
0.01012,0,5.98655,5.35285,243.598,101.302
0.01016,0,6.30561,5.8414,243.694,101.447
0.0102,0,6.62345,6.19324,243.791,101.585
0.01024,0,6.94013,6.62737,243.888,101.717
0.01028,0,7.26328,7.08654,243.986,101.842
0.01032,0,7.59985,7.50907,244.083,101.96
0.01036,0,7.94027,7.81218,244.179,102.072
0.0104,0,8.25267,8.29247,244.274,102.177
0.01044,0,8.5531,8.8365,244.367,102.274
0.01048,0,8.87787,9.24392,244.458,102.366
0.01052,0,9.21668,9.77919,244.548,102.453
0.01056,0,9.56623,10.0763,244.634,102.533
0.0106,0,9.88258,10.6572,244.717,102.608
0.01064,0,10.1915,11.2679,244.797,102.677
0.01068,0,10.5345,12.0313,244.873,102.741
0.01072,0,10.9488,12.5102,244.946,102.8
0.01076,0,11.3773,13.199,245.014,102.854
0.0108,0,11.7959,13.6875,245.076,102.903
