time,i_out
0.10868,79.4730862277577
0.10872,79.4730862277577
0.10876,79.4730862277577
0.1088,78.1687592157934
0.10884,78.1687592157934
0.10888,78.1687592157934
0.10892,78.1687592157934
0.10896,78.1687592157934
0.109,78.1687592157934
0.10904,78.1687592157934
0.10908,78.1687592157934
0.10912,78.1687592157934
0.10916,78.1687592157934
0.1092,81.8066652284942
0.10924,81.8066652284942
0.10928,81.8066652284942
0.10932,81.8066652284942
0.10936,81.8066652284942
0.1094,81.8066652284942
0.10944,81.8066652284942
0.10948,81.8066652284942
0.10952,81.8066652284942
0.10956,81.8066652284942
0.1096,82.323416950148
0.10964,82.323416950148
0.10968,82.323416950148
0.10972,82.323416950148
0.10976,82.323416950148
0.1098,82.323416950148
0.10984,82.323416950148
0.10988,82.323416950148
0.10992,82.323416950148
0.10996,82.323416950148
0.11,86.8090703047291
0.11004,86.8090703047291
0.11008,86.8090703047291
0.11012,86.8090703047291
0.11016,86.8090703047291
0.1102,86.8090703047291
0.11024,86.8090703047291
0.11028,86.8090703047291
0.11032,86.8090703047291
0.11036,86.8090703047291
0.1104,81.7558126414084
0.11044,81.7558126414084
0.11048,81.7558126414084
0.11052,81.7558126414084
0.11056,81.7558126414084
0.1106,81.7558126414084
0.11064,81.7558126414084
0.11068,81.7558126414084
0.11072,81.7558126414084
0.11076,81.7558126414084
0.1108,83.0985628929587
0.11084,83.0985628929587
0.11088,83.0985628929587
0.11092,83.0985628929587
0.11096,83.0985628929587
0.111,83.0985628929587
0.11104,83.0985628929587
0.11108,83.0985628929587
0.11112,83.0985628929587
0.11116,83.0985628929587
0.1112,92.8441165495134
0.11124,92.8441165495134
0.11128,92.8441165495134
0.11132,92.8441165495134
0.11136,92.8441165495134
0.1114,92.8441165495134
0.11144,92.8441165495134
0.11148,92.8441165495134
0.11152,92.8441165495134
0.11156,92.8441165495134
0.1116,80.0510759194482
0.11164,80.0510759194482
0.11168,80.0510759194482
0.11172,80.0510759194482
0.11176,80.0510759194482
0.1118,80.0510759194482
0.11184,80.0510759194482
0.11188,80.0510759194482
0.11192,80.0510759194482
0.11196,80.0510759194482
0.112,70.4735829395312
0.11204,70.4735829395312
0.11208,70.4735829395312
0.11212,70.4735829395312
0.11216,70.4735829395312
0.1122,70.4735829395312
0.11224,70.4735829395312
0.11228,70.4735829395312
0.11232,70.4735829395312
0.11236,70.4735829395312
0.1124,80.0138706114847
0.11244,80.0138706114847
0.11248,80.0138706114847
0.11252,80.0138706114847
0.11256,80.0138706114847
0.1126,80.0138706114847
0.11264,80.0138706114847
0.11268,80.0138706114847
0.11272,80.0138706114847
0.11276,80.0138706114847
0.1128,85.8207386948614
0.11284,85.8207386948614
0.11288,85.8207386948614
0.11292,85.8207386948614
0.11296,85.8207386948614
0.113,85.8207386948614
0.11304,85.8207386948614
0.11308,85.8207386948614
0.11312,85.8207386948614
0.11316,85.8207386948614
0.1132,82.1955025485684
0.11324,82.1955025485684
0.11328,82.1955025485684
0.11332,82.1955025485684
0.11336,82.1955025485684
0.1134,82.1955025485684
0.11344,82.1955025485684
0.11348,82.1955025485684
0.11352,82.1955025485684
0.11356,82.1955025485684
0.1136,86.4344598628163
0.11364,86.4344598628163
0.11368,86.4344598628163
0.11372,86.4344598628163
0.11376,86.4344598628163
0.1138,86.4344598628163
0.11384,86.4344598628163
0.11388,86.4344598628163
0.11392,86.4344598628163
0.11396,86.4344598628163
0.114,79.9430641080182
0.11404,79.9430641080182
0.11408,79.9430641080182
0.11412,79.9430641080182
0.11416,79.9430641080182
0.1142,79.9430641080182
0.11424,79.9430641080182
0.11428,79.9430641080182
0.11432,79.9430641080182
0.11436,79.9430641080182
0.1144,75.5353397725272
0.11444,75.5353397725272
0.11448,75.5353397725272
0.11452,75.5353397725272
0.11456,75.5353397725272
0.1146,75.5353397725272
0.11464,75.5353397725272
0.11468,75.5353397725272
0.11472,75.5353397725272
0.11476,75.5353397725272
0.1148,78.620530296091
0.11484,78.620530296091
0.11488,78.620530296091
0.11492,78.620530296091
0.11496,78.620530296091
0.115,78.620530296091
0.11504,78.620530296091
0.11508,78.620530296091
0.11512,78.620530296091
0.11516,78.620530296091
0.1152,80.1650995269041
0.11524,80.1650995269041
0.11528,80.1650995269041
0.11532,80.1650995269041
0.11536,80.1650995269041
0.1154,80.1650995269041
0.11544,80.1650995269041
0.11548,80.1650995269041
0.11552,80.1650995269041
0.11556,80.1650995269041
0.1156,78.2418413975723
0.11564,78.2418413975723
0.11568,78.2418413975723
0.11572,78.2418413975723
0.11576,78.2418413975723
0.1158,78.2418413975723
0.11584,78.2418413975723
0.11588,78.2418413975723
0.11592,78.2418413975723
0.11596,78.2418413975723
0.116,76.4300023535715
0.11604,76.4300023535715
0.11608,76.4300023535715
0.11612,76.4300023535715
0.11616,76.4300023535715
0.1162,76.4300023535715
0.11624,76.4300023535715
0.11628,76.4300023535715
0.11632,76.4300023535715
0.11636,76.4300023535715
0.1164,80.1086452300729
0.11644,80.1086452300729
0.11648,80.1086452300729
0.11652,80.1086452300729
0.11656,80.1086452300729
0.1166,80.1086452300729
0.11664,80.1086452300729
0.11668,80.1086452300729
0.11672,80.1086452300729
0.11676,80.1086452300729
0.1168,77.6873910072754
